"","outletID","class","Freq","YEAR"
"1",1,1,61063,1990
"2",1,2,1787,1990
"3",1,4,168,1990
"4",1,6,3361,1990
"5",1,7,886,1990
"6",1,NA,8233,1990
"7",4,1,1612,1990
"8",4,3,1,1990
"9",4,4,552,1990
"10",4,6,26,1990
"11",5,1,2823,1990
"12",5,6,525,1990
"13",6,1,2208,1990
"14",8,1,2205,1990
"15",10,1,11239,1990
"16",10,6,2069,1990
"17",12,1,51202,1990
"18",12,2,2397,1990
"19",12,5,14626,1990
"20",12,6,1218,1990
"21",12,7,1,1990
"22",14,1,1819,1990
"23",15,1,12106,1990
"24",15,2,497,1990
"25",15,5,59,1990
"26",15,6,74,1990
"27",15,7,5,1990
"28",16,1,53464,1990
"29",16,2,1041,1990
"30",16,3,1,1990
"31",16,4,243,1990
"32",16,5,2084,1990
"33",16,6,38,1990
"34",16,7,25,1990
"35",18,1,222617,1990
"36",18,2,4474,1990
"37",18,3,11,1990
"38",18,4,6681,1990
"39",18,5,48561,1990
"40",18,6,10663,1990
"41",18,7,310,1990
"42",22,1,149064,1990
"43",22,2,677,1990
"44",22,4,245,1990
"45",22,6,10,1990
"46",22,7,182,1990
"47",34,1,21791,1990
"48",34,3,2933,1990
"49",34,4,6530,1990
"50",35,1,3914,1990
"51",35,3,373,1990
"52",35,4,11025,1990
"53",35,6,8,1990
"54",36,1,288,1990
"55",36,4,304,1990
"56",38,1,14054,1990
"57",38,3,743,1990
"58",38,4,313,1990
"59",40,1,569,1990
"60",41,1,2510,1990
"61",46,1,306,1990
"62",46,4,89,1990
"63",47,1,4061,1990
"64",47,2,69,1990
"65",47,3,130,1990
"66",47,4,5273,1990
"67",47,5,11,1990
"68",48,1,9450,1990
"69",48,3,1,1990
"70",48,4,665,1990
"71",48,6,20,1990
"72",49,1,6830,1990
"73",49,3,5,1990
"74",49,4,107,1990
"75",50,1,3960,1990
"76",50,3,92,1990
"77",50,4,2618,1990
"78",52,1,57,1990
"79",52,4,48,1990
"80",53,1,100,1990
"81",54,1,510,1990
"82",54,4,30,1990
"83",55,1,865,1990
"84",55,4,33,1990
"85",56,1,1101,1990
"86",57,1,57088,1990
"87",57,2,310,1990
"88",57,4,250,1990
"89",57,5,715,1990
"90",57,7,299,1990
"91",58,1,678,1990
"92",58,4,87,1990
"93",60,1,50054,1990
"94",60,2,805,1990
"95",60,4,489,1990
"96",60,5,261,1990
"97",61,1,16264,1990
"98",61,5,2430,1990
"99",63,1,895,1990
"100",65,1,153720,1990
"101",65,2,6138,1990
"102",65,5,113455,1990
"103",65,7,1537,1990
"104",66,1,167,1990
"105",68,1,54081,1990
"106",68,2,145,1990
"107",68,4,311,1990
"108",68,5,1196,1990
"109",68,7,685,1990
"110",69,1,7621,1990
"111",69,2,2249,1990
"112",69,5,1157,1990
"113",69,7,3,1990
"114",70,1,9004,1990
"115",70,2,99,1990
"116",70,4,788,1990
"117",70,5,1090,1990
"118",71,1,16413,1990
"119",71,2,3665,1990
"120",71,3,2,1990
"121",71,4,38,1990
"122",71,5,7391,1990
"123",71,7,3,1990
"124",72,1,493,1990
"125",72,4,7,1990
"126",73,1,557,1990
"127",73,4,21,1990
"128",74,1,206,1990
"129",74,4,12,1990
"130",75,1,5243,1990
"131",75,2,1338,1990
"132",75,3,93,1990
"133",75,4,710,1990
"134",75,5,248,1990
"135",75,7,29,1990
"136",76,1,16949,1990
"137",76,2,2,1990
"138",76,4,1093,1990
"139",76,5,7512,1990
"140",77,1,5714,1990
"141",77,4,2031,1990
"142",77,5,194,1990
"143",77,7,8,1990
"144",79,1,866,1990
"145",80,1,538,1990
"146",84,1,1018,1990
"147",85,1,27062,1990
"148",85,4,657,1990
"149",85,5,1494,1990
"150",85,6,32,1990
"151",85,7,259,1990
"152",86,1,45538,1990
"153",86,2,2164,1990
"154",86,4,2399,1990
"155",86,5,2192,1990
"156",86,6,49,1990
"157",86,7,1886,1990
"158",87,1,5663,1990
"159",87,2,164,1990
"160",87,5,1621,1990
"161",87,7,24,1990
"162",88,1,56776,1990
"163",88,3,43,1990
"164",88,4,17085,1990
"165",88,5,692,1990
"166",88,6,61,1990
"167",88,7,605,1990
"168",89,1,1215,1990
"169",89,4,53,1990
"170",93,1,1114,1990
"171",93,4,1070,1990
"172",94,1,31972,1990
"173",94,2,1720,1990
"174",94,3,68,1990
"175",94,4,1195,1990
"176",94,5,5492,1990
"177",94,7,159,1990
"178",95,1,298,1990
"179",97,1,601,1990
"180",98,1,2446,1990
"181",98,4,77,1990
"182",101,1,379,1990
"183",103,1,279,1990
"184",104,1,553,1990
"185",107,1,309,1990
"186",111,1,779,1990
"187",112,1,752,1990
"188",117,1,1688,1990
"189",118,1,1673,1990
"190",119,1,1065,1990
"191",120,1,15582,1990
"192",120,2,21,1990
"193",120,4,3122,1990
"194",120,5,168,1990
"195",121,1,7146,1990
"196",121,4,748,1990
"197",121,5,169,1990
"198",123,1,7719,1990
"199",123,4,70,1990
"200",123,6,10,1990
"201",124,1,32824,1990
"202",124,2,609,1990
"203",124,3,76,1990
"204",124,4,70,1990
"205",124,5,19735,1990
"206",125,1,2540,1990
"207",126,1,1687,1990
"208",127,1,99,1990
"209",127,4,235,1990
"210",128,1,1532,1990
"211",128,4,477,1990
"212",129,1,57791,1990
"213",129,3,29,1990
"214",129,4,7081,1990
"215",129,5,854,1990
"216",129,6,5762,1990
"217",130,1,5828,1990
"218",130,4,131,1990
"219",130,6,5139,1990
"220",131,1,18138,1990
"221",131,2,11,1990
"222",131,4,1029,1990
"223",131,5,1398,1990
"224",131,7,20,1990
"225",132,1,1034,1990
"226",132,4,152,1990
"227",133,1,15288,1990
"228",133,2,789,1990
"229",133,4,271,1990
"230",133,5,5908,1990
"231",134,1,12882,1990
"232",134,4,24,1990
"233",134,5,1054,1990
"234",135,1,414,1990
"235",136,1,4459,1990
"236",136,2,52,1990
"237",136,5,1683,1990
"238",138,1,7995,1990
"239",138,3,2,1990
"240",138,4,2942,1990
"241",138,5,1168,1990
"242",139,1,617,1990
"243",140,1,975,1990
"244",140,4,33,1990
"245",141,1,5471,1990
"246",141,4,77,1990
"247",141,5,67,1990
"248",142,1,2231,1990
"249",142,4,266,1990
"250",142,5,18,1990
"251",144,1,12042,1990
"252",144,2,252,1990
"253",144,5,699,1990
"254",145,1,434,1990
"255",145,4,148,1990
"256",147,1,1856,1990
"257",147,2,182,1990
"258",147,4,47,1990
"259",148,1,3275,1990
"260",148,2,271,1990
"261",149,1,3586,1990
"262",149,2,1837,1990
"263",150,1,5875,1990
"264",150,2,892,1990
"265",150,4,5,1990
"266",150,5,5,1990
"267",151,1,2534,1990
"268",151,2,105,1990
"269",152,1,921,1990
"270",155,1,1666,1990
"271",155,2,351,1990
"272",156,1,25743,1990
"273",156,2,3444,1990
"274",156,4,520,1990
"275",156,5,5359,1990
"276",156,6,1,1990
"277",158,1,1354,1990
"278",159,1,2155,1990
"279",159,4,22,1990
"280",160,1,5172,1990
"281",160,4,24,1990
"282",160,5,5,1990
"283",161,1,331,1990
"284",161,4,44,1990
"285",162,1,825,1990
"286",162,4,16,1990
"287",163,1,320,1990
"288",163,4,5,1990
"289",164,1,1949,1990
"290",164,7,5,1990
"291",165,1,498,1990
"292",165,7,12,1990
"293",166,1,735,1990
"294",166,4,58,1990
"295",167,1,2531,1990
"296",167,4,139,1990
"297",168,1,1272,1990
"298",168,4,23,1990
"299",169,1,965,1990
"300",169,5,54,1990
"301",170,1,534,1990
"302",170,4,113,1990
"303",173,1,1970,1990
"304",173,4,1460,1990
"305",174,1,325,1990
"306",174,4,36,1990
"307",175,1,187,1990
"308",175,4,8,1990
"309",176,1,3308,1990
"310",176,4,1141,1990
"311",177,1,2598,1990
"312",177,4,186,1990
"313",178,1,4078,1990
"314",178,4,334,1990
"315",178,5,5,1990
"316",180,1,2759,1990
"317",180,2,130,1990
"318",180,4,145,1990
"319",181,1,3131,1990
"320",181,4,57,1990
"321",181,7,200,1990
"322",183,1,215,1990
"323",184,1,2448,1990
"324",184,2,550,1990
"325",184,4,57,1990
"326",185,1,3895,1990
"327",185,2,334,1990
"328",185,4,100,1990
"329",185,5,85,1990
"330",186,1,3152,1990
"331",187,1,1382,1990
"332",189,1,383,1990
"333",189,4,12,1990
"334",190,1,629,1990
"335",190,4,8,1990
"336",192,1,431,1990
"337",194,1,2569,1990
"338",195,1,1864,1990
"339",195,4,223,1990
"340",196,1,319,1990
"341",196,4,50,1990
"342",197,1,14214,1990
"343",197,2,76,1990
"344",197,4,32,1990
"345",198,1,1642,1990
"346",198,2,72,1990
"347",200,1,544,1990
"348",200,7,30,1990
"349",201,1,1729,1990
"350",201,4,4,1990
"351",202,1,563,1990
"352",202,2,7,1990
"353",203,1,233,1990
"354",205,1,2702,1990
"355",205,5,169,1990
"356",206,1,5499,1990
"357",206,5,1238,1990
"358",208,1,2039,1990
"359",208,5,3,1990
"360",209,1,1976,1990
"361",210,1,1627,1990
"362",210,2,94,1990
"363",211,1,1928,1990
"364",211,5,50,1990
"365",212,1,1342,1990
"366",212,5,40,1990
"367",213,1,730,1990
"368",213,5,15,1990
"369",214,1,3348,1990
"370",216,1,725,1990
"371",216,2,2,1990
"372",216,5,31,1990
"373",217,1,1000,1990
"374",217,2,6,1990
"375",217,5,12,1990
"376",219,1,2699,1990
"377",219,2,188,1990
"378",219,5,14,1990
"379",220,1,483,1990
"380",220,2,18,1990
"381",221,1,743,1990
"382",221,2,62,1990
"383",222,1,581,1990
"384",222,2,195,1990
"385",223,1,755,1990
"386",223,2,93,1990
"387",224,1,4207,1990
"388",224,2,3033,1990
"389",224,5,471,1990
"390",227,1,628,1990
"391",227,4,18,1990
"392",228,1,2223,1990
"393",230,1,2695,1990
"394",231,1,695,1990
"395",233,1,10717,1990
"396",233,2,619,1990
"397",233,5,440,1990
"398",234,1,795,1990
"399",235,1,1465,1990
"400",238,1,528,1990
"401",238,5,4,1990
"402",239,1,1561,1990
"403",239,2,525,1990
"404",239,4,33,1990
"405",239,5,124,1990
"406",241,1,1520,1990
"407",241,2,5,1990
"408",241,4,27,1990
"409",242,1,634,1990
"410",243,1,4727,1990
"411",243,2,1243,1990
"412",243,4,38,1990
"413",243,5,529,1990
"414",244,1,1635,1990
"415",244,4,52,1990
"416",245,1,323,1990
"417",247,1,389,1990
"418",247,4,33,1990
"419",248,1,430,1990
"420",249,1,2597,1990
"421",249,4,18,1990
"422",249,5,290,1990
"423",253,1,1289,1990
"424",259,1,685,1990
"425",259,4,158,1990
"426",260,1,314,1990
"427",261,1,9937,1990
"428",261,2,619,1990
"429",261,5,3078,1990
"430",262,1,305,1990
"431",262,4,5,1990
"432",263,1,4682,1990
"433",263,2,990,1990
"434",263,5,689,1990
"435",269,1,1072,1990
"436",269,5,166,1990
"437",270,1,2280,1990
"438",270,2,20,1990
"439",270,5,215,1990
"440",274,1,3380,1990
"441",274,2,2347,1990
"442",274,4,32,1990
"443",274,5,448,1990
"444",276,1,755,1990
"445",277,1,4403,1990
"446",277,2,225,1990
"447",277,5,236,1990
"448",277,6,57,1990
"449",278,1,1033,1990
"450",278,5,376,1990
"451",281,1,1009,1990
"452",281,2,2,1990
"453",281,5,278,1990
"454",282,1,2976,1990
"455",282,2,85,1990
"456",282,4,20,1990
"457",284,1,10751,1990
"458",284,2,4882,1990
"459",284,4,105,1990
"460",284,5,3528,1990
"461",285,1,5671,1990
"462",285,2,3843,1990
"463",285,4,129,1990
"464",285,5,1207,1990
"465",288,1,392,1990
"466",288,4,11,1990
"467",289,1,239,1990
"468",289,4,92,1990
"469",290,1,322,1990
"470",290,4,71,1990
"471",291,1,19889,1990
"472",291,2,237,1990
"473",291,4,193,1990
"474",291,5,757,1990
"475",294,1,766,1990
"476",296,1,1217,1990
"477",296,2,530,1990
"478",296,4,26,1990
"479",296,5,736,1990
"480",300,1,5366,1990
"481",300,5,1572,1990
"482",303,1,866,1990
"483",306,1,2734,1990
"484",310,1,1419,1990
"485",310,2,272,1990
"486",310,4,8,1990
"487",311,1,540,1990
"488",311,4,74,1990
"489",312,1,1406,1990
"490",312,4,194,1990
"491",314,1,946,1990
"492",316,1,333,1990
"493",323,1,360,1990
"494",324,1,392,1990
"495",333,1,3547,1990
"496",333,4,1,1990
"497",338,1,477,1990
"498",340,1,554,1990
"499",342,1,2311,1990
"500",345,1,2393,1990
"501",345,2,99,1990
"502",345,5,58,1990
"503",346,1,1436,1990
"504",346,2,3,1990
"505",347,1,992,1990
"506",347,2,182,1990
"507",348,1,2165,1990
"508",348,4,15,1990
"509",350,1,606,1990
"510",350,2,1,1990
"511",351,1,883,1990
"512",352,1,1796,1990
"513",352,2,972,1990
"514",353,1,822,1990
"515",353,4,13,1990
"516",354,1,3875,1990
"517",354,4,119,1990
"518",355,1,461,1990
"519",355,5,2,1990
"520",360,1,783,1990
"521",360,2,24,1990
"522",360,5,1,1990
"523",361,1,291,1990
"524",361,2,26,1990
"525",361,4,186,1990
"526",364,1,178,1990
"527",364,4,108,1990
"528",365,1,400,1990
"529",365,2,152,1990
"530",365,3,1,1990
"531",365,4,232,1990
"532",365,5,9,1990
"533",370,1,2402,1990
"534",370,4,59,1990
"535",370,5,67,1990
"536",371,1,531,1990
"537",371,4,605,1990
"538",372,1,495,1990
"539",372,4,158,1990
"540",374,1,1876,1990
"541",374,3,1,1990
"542",374,4,513,1990
"543",374,5,1,1990
"544",377,1,216,1990
"545",377,4,50,1990
"546",378,1,354,1990
"547",378,4,234,1990
"548",379,1,151,1990
"549",379,4,95,1990
"550",380,1,543,1990
"551",380,4,582,1990
"552",382,1,337,1990
"553",382,4,25,1990
"554",384,1,997,1990
"555",384,2,160,1990
"556",384,3,13,1990
"557",384,4,512,1990
"558",384,5,57,1990
"559",384,7,13,1990
"560",389,1,2494,1990
"561",389,4,106,1990
"562",390,1,559,1990
"563",390,2,583,1990
"564",390,4,55,1990
"565",392,1,579,1990
"566",392,4,345,1990
"567",393,1,5139,1990
"568",393,2,1680,1990
"569",393,3,12,1990
"570",393,4,1753,1990
"571",393,5,1457,1990
"572",393,6,13,1990
"573",393,7,5,1990
"574",395,1,932,1990
"575",395,2,793,1990
"576",395,4,166,1990
"577",395,5,675,1990
"578",395,7,4,1990
"579",396,1,358,1990
"580",396,2,16,1990
"581",396,4,270,1990
"582",396,5,47,1990
"583",399,1,178,1990
"584",399,4,494,1990
"585",402,1,121,1990
"586",402,2,211,1990
"587",402,4,249,1990
"588",402,5,2,1990
"589",406,1,572,1990
"590",406,2,814,1990
"591",406,4,54,1990
"592",406,5,255,1990
"593",408,1,3702,1990
"594",408,2,1506,1990
"595",408,4,166,1990
"596",408,5,1904,1990
"597",410,1,546,1990
"598",410,2,114,1990
"599",410,4,151,1990
"600",410,5,3,1990
"601",413,1,796,1990
"602",413,4,195,1990
"603",413,5,95,1990
"604",415,1,237,1990
"605",415,2,121,1990
"606",415,4,161,1990
"607",416,1,93,1990
"608",416,2,312,1990
"609",416,4,65,1990
"610",419,1,185,1990
"611",419,2,16,1990
"612",419,4,249,1990
"613",420,1,2524,1990
"614",420,2,1545,1990
"615",420,4,34,1990
"616",420,5,539,1990
"617",420,6,1,1990
"618",422,1,328,1990
"619",422,2,556,1990
"620",422,4,27,1990
"621",422,5,2,1990
"622",423,1,1991,1990
"623",423,2,568,1990
"624",423,4,203,1990
"625",423,5,23,1990
"626",426,1,527,1990
"627",426,5,95,1990
"628",427,1,1374,1990
"629",427,2,344,1990
"630",427,4,44,1990
"631",427,5,62,1990
"632",428,1,549,1990
"633",428,4,81,1990
"634",431,1,28,1990
"635",432,1,1717,1990
"636",432,2,820,1990
"637",432,4,74,1990
"638",432,5,14,1990
"639",433,1,664,1990
"640",434,1,134,1990
"641",434,4,15,1990
"642",438,1,1647,1990
"643",438,2,52,1990
"644",438,4,57,1990
"645",438,5,351,1990
"646",438,7,5,1990
"647",439,1,327,1990
"648",439,2,1624,1990
"649",439,4,103,1990
"650",439,5,396,1990
"651",442,1,494,1990
"652",442,2,388,1990
"653",442,4,31,1990
"654",442,5,79,1990
"655",442,7,28,1990
"656",444,1,6530,1990
"657",444,2,212,1990
"658",444,3,6,1990
"659",444,4,893,1990
"660",444,5,563,1990
"661",444,7,92,1990
"662",445,1,396,1990
"663",445,4,466,1990
"664",446,1,2123,1990
"665",446,4,1330,1990
"666",448,1,3964,1990
"667",448,4,668,1990
"668",448,5,208,1990
"669",449,1,6408,1990
"670",449,3,80,1990
"671",449,4,955,1990
"672",449,5,3168,1990
"673",449,6,17,1990
"674",451,1,1156,1990
"675",451,4,223,1990
"676",452,1,902,1990
"677",452,4,347,1990
"678",453,1,895,1990
"679",453,4,1333,1990
"680",454,1,2524,1990
"681",454,2,3473,1990
"682",454,4,11597,1990
"683",455,1,32082,1990
"684",455,2,385,1990
"685",455,3,36,1990
"686",455,4,37845,1990
"687",455,7,34,1990
"688",456,1,3710,1990
"689",456,2,442,1990
"690",456,4,5926,1990
"691",457,1,3373,1990
"692",457,3,30,1990
"693",457,4,22,1990
"694",457,5,348,1990
"695",458,1,3940,1990
"696",458,4,123,1990
"697",458,5,647,1990
"698",458,7,49,1990
"699",462,1,2578,1990
"700",462,3,14,1990
"701",462,4,10,1990
"702",462,5,1039,1990
"703",470,1,2740,1990
"704",470,3,4,1990
"705",470,5,1678,1990
"706",470,7,608,1990
"707",471,1,150,1990
"708",471,5,25,1990
"709",471,7,49,1990
"710",472,1,154,1990
"711",472,5,21,1990
"712",472,7,83,1990
"713",476,1,5169,1990
"714",476,5,1967,1990
"715",476,7,82,1990
"716",477,1,1141,1990
"717",477,4,234,1990
"718",477,5,249,1990
"719",477,7,371,1990
"720",478,1,2987,1990
"721",478,5,856,1990
"722",479,1,4016,1990
"723",479,3,11,1990
"724",479,4,160,1990
"725",479,5,3314,1990
"726",480,1,20219,1990
"727",480,2,2667,1990
"728",480,3,77,1990
"729",480,4,23,1990
"730",480,5,6889,1990
"731",480,7,1623,1990
"732",481,1,27042,1990
"733",481,4,1512,1990
"734",481,5,571,1990
"735",481,7,457,1990
"736",482,1,1823,1990
"737",482,2,3,1990
"738",482,7,391,1990
"739",483,1,25072,1990
"740",483,2,89,1990
"741",483,3,438,1990
"742",483,4,1317,1990
"743",483,5,17774,1990
"744",483,7,1618,1990
"745",486,1,94329,1990
"746",486,2,865,1990
"747",486,3,510,1990
"748",486,4,7252,1990
"749",486,5,32726,1990
"750",486,7,5386,1990
"751",487,1,137055,1990
"752",487,2,1758,1990
"753",487,3,3,1990
"754",487,4,10468,1990
"755",487,6,2859,1990
"756",487,7,6969,1990
"757",488,1,38247,1990
"758",488,4,300,1990
"759",488,7,8348,1990
"760",489,1,126034,1990
"761",489,4,108,1990
"762",489,5,70521,1990
"763",489,7,934,1990
"764",490,1,1560930,1990
"765",490,2,13571,1990
"766",490,3,178,1990
"767",490,4,4846,1990
"768",490,5,29938,1990
"769",490,6,573,1990
"770",490,7,89760,1990
"771",491,1,19764,1990
"772",491,2,14,1990
"773",491,4,953,1990
"774",492,1,179145,1990
"775",492,2,1613,1990
"776",492,4,453,1990
"777",492,NA,2195,1990
"778",1,1,53909,2014
"779",1,2,2797,2014
"780",1,4,169,2014
"781",1,6,10390,2014
"782",1,NA,8233,2014
"783",4,1,1603,2014
"784",4,2,125,2014
"785",4,3,1,2014
"786",4,4,444,2014
"787",4,6,18,2014
"788",5,1,2802,2014
"789",5,2,182,2014
"790",5,6,364,2014
"791",6,1,2208,2014
"792",8,1,2205,2014
"793",10,1,11171,2014
"794",10,2,72,2014
"795",10,6,2065,2014
"796",12,1,46538,2014
"797",12,2,2545,2014
"798",12,3,2084,2014
"799",12,5,17002,2014
"800",12,6,1273,2014
"801",12,7,2,2014
"802",14,1,1819,2014
"803",15,1,12079,2014
"804",15,2,614,2014
"805",15,5,11,2014
"806",15,6,35,2014
"807",15,7,2,2014
"808",16,1,52914,2014
"809",16,2,1400,2014
"810",16,3,1,2014
"811",16,4,208,2014
"812",16,5,2345,2014
"813",16,6,15,2014
"814",16,7,13,2014
"815",18,1,211840,2014
"816",18,2,9738,2014
"817",18,3,26,2014
"818",18,4,7207,2014
"819",18,5,53660,2014
"820",18,6,10478,2014
"821",18,7,368,2014
"822",22,1,148999,2014
"823",22,2,985,2014
"824",22,4,139,2014
"825",22,7,55,2014
"826",34,1,18605,2014
"827",34,2,867,2014
"828",34,3,2933,2014
"829",34,4,8849,2014
"830",35,1,3631,2014
"831",35,2,1392,2014
"832",35,3,373,2014
"833",35,4,9915,2014
"834",35,6,9,2014
"835",36,1,288,2014
"836",36,2,67,2014
"837",36,4,237,2014
"838",38,1,13913,2014
"839",38,2,84,2014
"840",38,3,743,2014
"841",38,4,370,2014
"842",40,1,569,2014
"843",41,1,2510,2014
"844",46,1,297,2014
"845",46,2,31,2014
"846",46,4,67,2014
"847",47,1,4017,2014
"848",47,2,818,2014
"849",47,3,130,2014
"850",47,4,4559,2014
"851",47,5,20,2014
"852",48,1,9001,2014
"853",48,2,125,2014
"854",48,3,1,2014
"855",48,4,768,2014
"856",48,6,241,2014
"857",49,1,6811,2014
"858",49,2,57,2014
"859",49,3,5,2014
"860",49,4,69,2014
"861",50,1,3836,2014
"862",50,2,266,2014
"863",50,3,92,2014
"864",50,4,2476,2014
"865",52,1,57,2014
"866",52,2,11,2014
"867",52,4,37,2014
"868",53,1,100,2014
"869",54,1,510,2014
"870",54,2,8,2014
"871",54,4,22,2014
"872",55,1,865,2014
"873",55,2,3,2014
"874",55,4,30,2014
"875",56,1,1101,2014
"876",57,1,56883,2014
"877",57,2,624,2014
"878",57,4,354,2014
"879",57,5,613,2014
"880",57,7,188,2014
"881",58,1,672,2014
"882",58,2,25,2014
"883",58,4,68,2014
"884",60,1,49933,2014
"885",60,2,1032,2014
"886",60,4,380,2014
"887",60,5,264,2014
"888",61,1,16155,2014
"889",61,2,1996,2014
"890",61,5,543,2014
"891",63,1,895,2014
"892",65,1,147918,2014
"893",65,2,33808,2014
"894",65,3,4,2014
"895",65,5,90867,2014
"896",65,7,2253,2014
"897",66,1,167,2014
"898",68,1,53423,2014
"899",68,2,904,2014
"900",68,4,255,2014
"901",68,5,1434,2014
"902",68,7,402,2014
"903",69,1,7282,2014
"904",69,2,2062,2014
"905",69,5,1686,2014
"906",70,1,8653,2014
"907",70,2,304,2014
"908",70,3,7,2014
"909",70,4,692,2014
"910",70,5,1325,2014
"911",71,1,13180,2014
"912",71,2,4177,2014
"913",71,3,30,2014
"914",71,4,33,2014
"915",71,5,10089,2014
"916",71,7,3,2014
"917",72,1,493,2014
"918",72,2,6,2014
"919",72,4,1,2014
"920",73,1,506,2014
"921",73,2,10,2014
"922",73,4,62,2014
"923",74,1,183,2014
"924",74,2,7,2014
"925",74,4,28,2014
"926",75,1,4912,2014
"927",75,2,1642,2014
"928",75,3,93,2014
"929",75,4,804,2014
"930",75,5,203,2014
"931",75,6,4,2014
"932",75,7,3,2014
"933",76,1,15720,2014
"934",76,2,606,2014
"935",76,3,2,2014
"936",76,4,939,2014
"937",76,5,8289,2014
"938",77,1,5591,2014
"939",77,2,436,2014
"940",77,4,1656,2014
"941",77,5,264,2014
"942",79,1,866,2014
"943",80,1,464,2014
"944",80,4,74,2014
"945",84,1,1018,2014
"946",85,1,26826,2014
"947",85,2,901,2014
"948",85,4,571,2014
"949",85,5,1139,2014
"950",85,7,67,2014
"951",86,1,45087,2014
"952",86,2,3472,2014
"953",86,4,2296,2014
"954",86,5,2420,2014
"955",86,6,14,2014
"956",86,7,939,2014
"957",87,1,5470,2014
"958",87,2,289,2014
"959",87,5,1712,2014
"960",87,7,1,2014
"961",88,1,54357,2014
"962",88,2,2681,2014
"963",88,3,43,2014
"964",88,4,17395,2014
"965",88,5,475,2014
"966",88,6,8,2014
"967",88,7,303,2014
"968",89,1,1215,2014
"969",89,2,13,2014
"970",89,4,40,2014
"971",93,1,839,2014
"972",93,2,107,2014
"973",93,4,1238,2014
"974",94,1,30245,2014
